District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,State,District,Latitude,Longitude,sex ratio,Literacy Rate
4,140802,15824,235,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,81.0,61.0
5,476835,62900,346,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,89.0,55.0
7,616435,109422,1443,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,89.0,63.0
10,1236829,165403,16413,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,90.0,61.0
12,560440,73629,1537,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,91.0,52.0
16,409936,61831,596,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,92.0,53.0
19,554985,73999,1214,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,87.0,58.0
21,1529958,294739,19905,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,88.0,74.0
23,519080,96082,1615,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,99.0,62.0
24,1510075,330081,8053,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,101.0,76.0
26,437903,91322,2623,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,94.0,70.0
27,999777,214491,5333,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,101.0,72.0
28,454768,104120,2521,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,110.0,79.0
28,454768,104120,2521,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,110.0,79.0
29,521173,105929,2412,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,98.0,77.0
30,381956,79146,1574,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,98.0,75.0
30,381956,79146,1574,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,98.0,75.0
31,580320,119866,5250,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,88.0,74.0
32,529855,91509,2220,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,92.0,68.0
33,814010,172754,9177,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,92.0,75.0
34,84121,17865,354,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,82.0,72.0
35,2298323,411216,14428,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,90.0,71.0
36,815168,161206,9732,Punjab,Kapurthala,31.336592638036837,75.47641165644177,91.0,71.0
37,2193590,446200,39082,Punjab,Jalandhar,31.250336907216507,75.54400350515463,92.0,74.0
38,1586625,319930,13747,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,96.0,76.0
40,600163,113683,5138,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,87.0,71.0
41,3498739,703624,58589,Punjab,Ludhiana,30.76596397379912,75.83110851528383,87.0,73.0
42,995746,183396,7897,Punjab,Moga,30.756540067340065,75.1600845117845,89.0,63.0
43,2029074,349662,10042,Punjab,Firozpur,30.63407535211269,74.40245732394365,89.0,60.0
44,901896,166585,4571,Punjab,Muktsar,30.31243303303303,74.5518747747748,90.0,58.0
45,617508,113549,4348,Punjab,Faridkot,30.591187250996025,74.79751553784862,89.0,62.0
46,1388525,255650,11284,Punjab,Bathinda,30.190524611973352,75.05685898004438,87.0,61.0
47,769751,140099,2673,Punjab,Mansa,29.919547714285724,75.4304922857143,88.0,55.0
48,1895686,352929,24274,Punjab,Patiala,30.214540380693364,76.27505893949697,89.0,67.0
49,2490656,461231,29961,Punjab,Amritsar,31.548679820627772,74.79883856502238,89.0,68.0
51,684627,129123,6600,Punjab,Rupnagar,30.910937330754347,76.53743500967126,92.0,73.0
53,1655169,305557,10736,Punjab,Sangrur,30.185045204336895,75.89437014178496,89.0,61.0
55,1055450,231204,44283,Chandigarh,Chandigarh,30.7426,76.75872465753424,82.0,76.0
56,330086,52621,602,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,96.0,65.0
57,391605,71524,899,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,102.0,72.0
59,618931,117239,1366,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,108.0,66.0
62,483439,95421,1344,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,102.0,71.0
63,259898,47083,435,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,109.0,69.0
64,622506,109876,1830,Uttaranchal,Almora,29.683532133676103,79.50165064267351,114.0,70.0
65,259648,37725,548,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,98.0,68.0
67,1648902,254802,7883,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,92.0,63.0
69,561293,103455,18615,Haryana,Panchkula,30.700897142857134,76.97173238095236,87.0,72.0
70,1128350,199681,12899,Haryana,Ambala,30.3503672316384,76.94970310734456,88.0,72.0
72,964655,171908,7356,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,89.0,67.0
73,1074304,187349,3724,Haryana,Kaithal,29.96068539094649,76.37698930041155,88.0,60.0
74,1505324,267223,11163,Haryana,Karnal,29.703200647249204,76.87488025889972,89.0,65.0
75,1205437,209965,10024,Haryana,Panipat,29.34352134146342,76.92895914634147,86.0,65.0
77,1334152,222462,5263,Haryana,Jind,29.45149821958457,76.29598575667653,87.0,62.0
78,942011,153301,3210,Haryana,Fatehabad,29.57298318584072,75.54608716814157,90.0,59.0
79,1295189,215527,6287,Haryana,Sirsa,29.63583446327684,74.90970480225988,90.0,60.0
80,1743931,285004,10132,Haryana,Hisar,29.23628731117825,75.84324682779452,87.0,64.0
81,1634445,266244,5292,Haryana,Bhiwani,28.728868064516128,76.02110225806452,89.0,65.0
82,1061204,193120,8482,Haryana,Rohtak,28.892517647058817,76.53123235294117,87.0,70.0
83,958405,168558,5034,Haryana,Jhajjar,28.59651868131869,76.61137142857145,86.0,71.0
84,922088,135455,2624,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,89.0,68.0
85,900332,152651,5121,Haryana,Rewari,28.19164714828897,76.55956007604564,90.0,71.0
86,1514432,305751,67087,Haryana,Gurgaon,28.043894789579163,77.01935130260523,85.0,73.0
88,1809733,333171,43437,Haryana,Faridabad,28.14873109756098,77.32718536585368,87.0,70.0
93,1709346,352758,80037,Sikkim,East,27.29600352941175,88.74908392156858,88.0,79.0
99,1969168,283142,6295,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,89.0,61.0
100,1774692,243163,3360,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,91.0,58.0
101,2363937,220793,7607,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,91.0,54.0
102,2039547,231696,2577,Rajasthan,Churu,28.29330375536484,74.65846427038629,94.0,56.0
103,2137045,297559,4828,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,95.0,64.0
104,3674179,485723,9750,Rajasthan,Alwar,27.55271738035265,76.65359630562563,89.0,59.0
105,2548462,288723,4179,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,88.0,58.0
106,1206516,96086,1330,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,85.0,57.0
107,1458248,132079,1059,Rajasthan,Karauli,26.51901555555556,76.96081818181815,86.0,55.0
108,1335551,140947,1887,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,90.0,56.0
109,1634409,195277,1719,Rajasthan,Dausa,26.91234817629181,76.57342097264443,91.0,57.0
110,6626178,990085,76565,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,91.0,65.0
111,2677333,339457,5647,Rajasthan,Sikar,27.64644058641976,75.29317422839503,95.0,62.0
112,3307743,347344,4449,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,95.0,53.0
113,3687165,408808,19335,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,92.0,55.0
114,669919,43141,754,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,85.0,46.0
115,2603751,126494,2766,Rajasthan,Barmer,25.77070908045978,71.50297126436782,90.0,46.0
116,1828730,161845,1585,Rajasthan,Jalor,25.07578093797277,72.18647261724662,95.0,45.0
117,1036346,134089,2146,Rajasthan,Sirohi,24.7976905263158,72.75309131578943,94.0,46.0
118,2037573,326793,4043,Rajasthan,Pali,25.80490393541874,73.55285640766907,99.0,53.0
119,2583052,393498,13499,Rajasthan,Ajmer,26.199300378787903,74.6990419191919,95.0,59.0
120,1421326,158264,1908,Rajasthan,Tonk,26.153935071707927,75.79192216427637,95.0,53.0
121,1110906,136969,1392,Rajasthan,Bundi,25.48580716049379,75.79984074074079,92.0,53.0
122,2408523,373644,6207,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,97.0,52.0
123,1156597,193276,1989,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,99.0,54.0
124,1388552,141275,1477,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,99.0,49.0
125,1797485,120603,2324,Rajasthan,Banswara,23.453642032967014,74.44246868131869,98.0,46.0
126,1544338,268172,4941,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,97.0,53.0
127,1951014,339899,12843,Rajasthan,Kota,25.175718080000014,76.18618928000001,91.0,67.0
128,1222755,161310,1363,Rajasthan,Baran,24.98023243243244,76.86210651828291,93.0,57.0
129,1411129,220428,1750,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,95.0,52.0
130,3068420,357846,14211,Rajasthan,Udaipur,24.44076752136749,73.84029839743584,96.0,52.0
131,867848,71612,716,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,98.0,46.0
132,3466382,404499,9699,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,89.0,60.0
133,4143512,368153,10077,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,89.0,58.0
134,3682713,268353,7303,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,92.0,58.0
135,4772006,281758,11690,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,91.0,47.0
136,2335819,131112,3847,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,91.0,45.0
137,1840221,89329,2825,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,91.0,53.0
138,3443689,425624,23717,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,89.0,62.0
139,1303048,119121,2989,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,86.0,61.0
140,4681645,695130,78116,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,88.0,67.0
141,1648115,257586,53181,Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,85.0,68.0
142,3499171,223922,7865,Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,90.0,58.0
143,3673889,268120,13634,Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,88.0,57.0
145,2547184,281239,8726,Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,86.0,59.0
146,4418797,536402,27183,Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,87.0,61.0
147,2498156,196080,5834,Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,88.0,61.0
148,1868529,79022,2642,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,88.0,64.0
150,4448359,272830,15164,Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,89.0,49.0
151,2031007,83006,2870,Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,89.0,52.0
152,3006538,115163,3889,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,87.0,50.0
154,4483992,102040,3874,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,89.0,51.0
155,4092845,95508,3845,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,87.0,54.0
156,3108367,99466,3476,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,91.0,57.0
157,4589838,582769,68506,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,92.0,68.0
158,3405559,247856,5184,Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,94.0,58.0
159,1885204,88081,2624,Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,87.0,58.0
160,1656616,61491,2488,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,88.0,61.0
161,1581810,113098,2964,Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,87.0,67.0
162,1379545,65479,2404,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,86.0,67.0
163,1796184,49753,2682,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,86.0,65.0
165,1689974,104176,2217,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,87.0,64.0
166,1998603,183340,8517,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,89.0,65.0
167,1221592,77082,1079,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,91.0,52.0
168,1104285,55929,1196,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,86.0,59.0
168,1104285,55929,1196,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,86.0,59.0
169,875958,42936,1316,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,88.0,56.0
170,1799410,73522,1655,Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,86.0,56.0
171,991730,41046,827,Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,88.0,54.0
172,2632733,75263,3385,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,90.0,57.0
173,3209141,140538,5149,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,100.0,60.0
174,1599596,43753,1503,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,91.0,51.0
175,5954391,391542,24122,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,90.0,62.0
176,3260699,108116,3159,Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,91.0,52.0
177,2470996,127754,4746,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,96.0,59.0
178,2397888,99581,2509,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,98.0,62.0
179,3797117,233701,5956,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,98.0,59.0
180,3487731,85814,2681,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,89.0,40.0
182,2148665,57400,1551,Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,93.0,40.0
183,3433919,104084,4313,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,92.0,49.0
185,2464464,108101,3423,Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,96.0,57.0
186,1715183,79525,2031,Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,97.0,56.0
188,4440895,296619,14597,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,95.0,61.0
189,3564544,127331,3486,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,96.0,55.0
190,3100946,150001,4469,Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,102.0,60.0
191,4613913,183381,6652,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,102.0,60.0
192,2205968,149908,2656,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,98.0,62.0
193,3239774,119972,4672,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,94.0,61.0
194,4494204,181467,8002,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,102.0,61.0
195,3620268,105767,5309,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,95.0,61.0
196,1952756,99602,3492,Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,92.0,60.0
197,3676841,336056,19214,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,91.0,65.0
